Date,Index,Open,High,Low,Close,Volume,Currency
2019-11-08,NIFTY 50,11987.15,12034.15,11888.75,11908.15,789249984,INR
2019-11-11,NIFTY 50,11879.2,11932.65,11853.95,11913.45,548979968,INR
2019-11-13,NIFTY 50,11908.3,11946.8,11823.2,11840.45,659040000,INR
2019-11-14,NIFTY 50,11858.75,11895.65,11802.65,11872.1,559489984,INR
2019-11-15,NIFTY 50,11904.2,11973.65,11879.25,11895.45,580150016,INR
2019-11-18,NIFTY 50,11915.15,11946.2,11867.6,11884.5,514350016,INR
2019-11-19,NIFTY 50,11919.45,11958.85,11881.75,11940.1,613910016,INR
2019-11-20,NIFTY 50,12004.75,12038.6,11966.05,11999.1,646659968,INR
2019-11-21,NIFTY 50,12025.65,12028.2,11956.9,11968.4,557689984,INR
2019-11-22,NIFTY 50,11967.3,11968.1,11883.5,11914.4,486820000,INR
2019-11-25,NIFTY 50,11922.45,12084.5,11919.75,12073.75,534289984,INR
2019-11-26,NIFTY 50,12110.2,12132.45,12006.35,12037.7,1201340032,INR
2019-11-27,NIFTY 50,12068.5,12114.9,12055.15,12100.7,584230016,INR
2019-11-28,NIFTY 50,12132.1,12158.8,12099.95,12151.15,620480000,INR
2019-11-29,NIFTY 50,12146.2,12147.4,12017.4,12056.05,804430016,INR
2019-12-02,NIFTY 50,12137.05,12137.15,12023.7,12048.2,720950016,INR
2019-12-03,NIFTY 50,12067.65,12068.6,11956.4,11994.2,605790016,INR
2019-12-04,NIFTY 50,11969.95,12054.7,11935.3,12043.2,747190016,INR
2019-12-05,NIFTY 50,12071.25,12081.2,11998.75,12018.4,562230016,INR
2019-12-06,NIFTY 50,12047.35,12057.05,11888.85,11921.5,609219968,INR
2019-12-09,NIFTY 50,11939.1,11981.95,11888.05,11937.5,599120000,INR
2019-12-10,NIFTY 50,11950.5,11953.2,11844.7,11856.8,650220032,INR
2019-12-11,NIFTY 50,11867.35,11923.2,11832.3,11910.15,997660032,INR
2019-12-12,NIFTY 50,11944.3,12005.5,11934.0,11971.8,752620032,INR
2019-12-13,NIFTY 50,12026.4,12098.85,12023.6,12086.7,597710016,INR
2019-12-16,NIFTY 50,12131.35,12134.65,12046.3,12053.95,437700000,INR
2019-12-17,NIFTY 50,12082.45,12182.75,12070.35,12165.0,499590016,INR
2019-12-18,NIFTY 50,12197.0,12237.7,12163.45,12221.65,518860000,INR
2019-12-19,NIFTY 50,12223.4,12268.35,12191.15,12259.7,623049984,INR
2019-12-20,NIFTY 50,12266.45,12293.9,12252.75,12271.8,810680000,INR
2019-12-23,NIFTY 50,12235.45,12287.15,12213.25,12262.75,604780032,INR
2019-12-24,NIFTY 50,12269.25,12283.7,12202.1,12214.55,470289984,INR
2019-12-26,NIFTY 50,12211.85,12221.55,12118.85,12126.55,520329984,INR
2019-12-27,NIFTY 50,12172.9,12258.45,12157.9,12245.8,383790016,INR
2019-12-30,NIFTY 50,12274.9,12286.45,12213.8,12255.85,411089984,INR
2019-12-31,NIFTY 50,12247.1,12247.1,12151.8,12168.45,426929984,INR
2020-01-01,NIFTY 50,12202.15,12222.2,12165.3,12182.5,304080000,INR
2020-01-02,NIFTY 50,12198.55,12289.9,12195.25,12282.2,407700000,INR
2020-01-03,NIFTY 50,12261.1,12265.6,12191.35,12226.65,428769984,INR
2020-01-06,NIFTY 50,12170.6,12179.1,11974.2,11993.05,396500000,INR
2020-01-07,NIFTY 50,12079.1,12152.15,12005.35,12052.95,447820000,INR
2020-01-08,NIFTY 50,11939.1,12044.95,11929.6,12025.35,445990016,INR
2020-01-09,NIFTY 50,12153.15,12224.05,12132.55,12215.9,477470016,INR
2020-01-10,NIFTY 50,12271.0,12311.2,12213.2,12256.8,660630016,INR
2020-01-13,NIFTY 50,12296.7,12337.75,12285.8,12329.55,500969984,INR
2020-01-14,NIFTY 50,12333.1,12374.25,12308.7,12362.3,616259968,INR
2020-01-15,NIFTY 50,12349.4,12355.15,12278.75,12343.3,684350016,INR
2020-01-16,NIFTY 50,12347.1,12389.05,12315.8,12355.5,395670016,INR
2020-01-17,NIFTY 50,12328.4,12385.45,12321.4,12352.35,502060000,INR
2020-01-20,NIFTY 50,12430.5,12430.5,12216.9,12224.55,491609984,INR
2020-01-21,NIFTY 50,12195.3,12230.05,12162.3,12169.85,443980000,INR
2020-01-22,NIFTY 50,12218.35,12225.05,12087.9,12106.9,526300000,INR
2020-01-23,NIFTY 50,12123.75,12189.0,12094.1,12180.35,867649984,INR
2020-01-24,NIFTY 50,12174.55,12272.15,12149.65,12248.25,593240000,INR
2020-01-27,NIFTY 50,12197.1,12216.6,12107.0,12119.0,441160000,INR
2020-01-28,NIFTY 50,12148.1,12163.55,12024.5,12055.8,478480000,INR
2020-01-29,NIFTY 50,12114.9,12169.6,12103.8,12129.5,514360000,INR
2020-01-30,NIFTY 50,12147.75,12150.3,12010.6,12035.8,538140032,INR
2020-01-31,NIFTY 50,12100.4,12103.55,11945.85,11962.1,771280000,INR
2020-02-01,NIFTY 50,11939.0,12017.35,11633.3,11661.85,537634752,INR
2020-02-03,NIFTY 50,11627.45,11749.85,11614.5,11707.9,669820032,INR
2020-02-04,NIFTY 50,11786.25,11986.15,11783.4,11979.65,560430016,INR
2020-02-05,NIFTY 50,12005.85,12098.15,11953.35,12089.15,758030016,INR
2020-02-06,NIFTY 50,12120.0,12160.6,12084.65,12137.95,565120000,INR
2020-02-07,NIFTY 50,12151.15,12154.7,12073.95,12098.35,473480000,INR
2020-02-10,NIFTY 50,12102.35,12103.55,11990.75,12031.5,524710016,INR
2020-02-11,NIFTY 50,12108.4,12172.3,12099.0,12107.9,479980000,INR
2020-02-12,NIFTY 50,12151.0,12231.75,12144.3,12201.2,411729984,INR
2020-02-13,NIFTY 50,12219.55,12225.65,12139.8,12174.65,501190016,INR
2020-02-14,NIFTY 50,12190.15,12246.7,12091.2,12113.45,622780032,INR
2020-02-17,NIFTY 50,12131.8,12159.6,12037.0,12045.8,455190016,INR
2020-02-18,NIFTY 50,12028.25,12030.75,11908.05,11992.5,676849984,INR
2020-02-19,NIFTY 50,12090.6,12134.7,12042.1,12125.9,513569984,INR
2020-02-20,NIFTY 50,12119.0,12152.0,12071.45,12080.85,502609984,INR
2020-02-24,NIFTY 50,12012.55,12012.55,11813.4,11829.4,490800000,INR
2020-02-25,NIFTY 50,11877.5,11883.05,11779.9,11797.9,461000000,INR
2020-02-26,NIFTY 50,11738.55,11783.25,11639.6,11678.5,567630016,INR
2020-02-27,NIFTY 50,11661.25,11663.85,11536.7,11633.3,608609984,INR
2020-02-28,NIFTY 50,11382.0,11384.8,11175.05,11201.75,809900032,INR
2020-03-02,NIFTY 50,11387.35,11433.0,11036.25,11132.75,680800000,INR
2020-03-03,NIFTY 50,11217.55,11342.25,11152.55,11303.3,696520000,INR
2020-03-04,NIFTY 50,11351.35,11356.6,11082.15,11251.0,797649984,INR
2020-03-05,NIFTY 50,11306.05,11389.5,11244.6,11269.0,1352489984,INR
2020-03-06,NIFTY 50,10942.65,11035.1,10827.4,10989.45,1810969984,INR
2020-03-09,NIFTY 50,10742.05,10751.55,10294.45,10451.45,1565510016,INR
2020-03-11,NIFTY 50,10334.3,10545.1,10334.0,10458.4,1218550016,INR
2020-03-12,NIFTY 50,10039.95,10040.75,9508.0,9590.15,1343490048,INR
2020-03-13,NIFTY 50,9107.6,10159.4,8555.15,9955.2,1387949952,INR
2020-03-16,NIFTY 50,9587.8,9602.2,9165.1,9197.4,897729984,INR
2020-03-17,NIFTY 50,9285.4,9403.8,8915.6,8967.05,935619968,INR
2020-03-18,NIFTY 50,9088.45,9127.55,8407.05,8468.8,1516630016,INR
2020-03-19,NIFTY 50,8063.3,8575.45,7832.55,8263.45,925720000,INR
2020-03-20,NIFTY 50,8284.45,8883.0,8178.2,8745.45,1071520000,INR
2020-03-23,NIFTY 50,7945.7,8159.25,7583.6,7610.25,653539968,INR
2020-03-24,NIFTY 50,7848.3,8036.95,7511.1,7801.05,738430016,INR
2020-03-25,NIFTY 50,7735.15,8376.75,7714.75,8317.85,736870016,INR
2020-03-26,NIFTY 50,8451.0,8749.05,8304.9,8641.45,865590016,INR
2020-03-27,NIFTY 50,8949.1,9038.9,8522.9,8660.25,801449984,INR
2020-03-30,NIFTY 50,8385.95,8576.0,8244.0,8281.1,593249984,INR
2020-03-31,NIFTY 50,8529.35,8678.3,8358.0,8597.75,712659968,INR
2020-04-01,NIFTY 50,8584.1,8588.1,8198.35,8253.8,506340000,INR
2020-04-03,NIFTY 50,8356.55,8356.55,8055.8,8083.8,697030016,INR
2020-04-07,NIFTY 50,8446.3,8819.4,8360.95,8792.2,814179968,INR
2020-04-08,NIFTY 50,8688.9,9131.7,8653.9,8748.75,896529984,INR
2020-04-09,NIFTY 50,8973.05,9128.35,8904.55,9111.9,742140032,INR
2020-04-13,NIFTY 50,9103.95,9112.05,8912.4,8993.85,643969984,INR
2020-04-15,NIFTY 50,9196.4,9261.2,8874.1,8925.3,879150016,INR
2020-04-16,NIFTY 50,8851.25,9053.75,8821.9,8992.8,719440000,INR
2020-04-17,NIFTY 50,9323.45,9324.0,9091.35,9266.75,684209984,INR
2020-04-20,NIFTY 50,9390.2,9390.85,9230.8,9261.85,726369984,INR
2020-04-21,NIFTY 50,9016.95,9044.4,8909.4,8981.45,655120000,INR
2020-04-22,NIFTY 50,9026.75,9209.75,8946.25,9187.3,734380032,INR
2020-04-23,NIFTY 50,9232.35,9343.6,9170.15,9313.9,666649984,INR
2020-04-24,NIFTY 50,9163.9,9296.9,9141.3,9154.4,659440000,INR
2020-04-27,NIFTY 50,9259.7,9377.1,9250.35,9282.3,512790016,INR
2020-04-28,NIFTY 50,9389.8,9404.4,9260.0,9380.9,614550016,INR
2020-04-29,NIFTY 50,9408.6,9599.85,9392.35,9553.35,653030016,INR
2020-04-30,NIFTY 50,9753.5,9889.05,9731.5,9859.9,931169984,INR
2020-05-04,NIFTY 50,9533.5,9533.5,9266.95,9293.5,687489984,INR
2020-05-05,NIFTY 50,9429.4,9450.9,9190.75,9205.6,725200000,INR
2020-05-06,NIFTY 50,9226.8,9346.9,9116.5,9270.9,722190016,INR
2020-05-07,NIFTY 50,9234.05,9277.85,9175.9,9199.05,708739968,INR
2020-05-08,NIFTY 50,9376.95,9382.65,9238.2,9251.5,609049984,INR
2020-05-11,NIFTY 50,9348.15,9439.9,9219.95,9239.2,704649984,INR
2020-05-12,NIFTY 50,9168.85,9240.85,9043.95,9196.55,805459968,INR
2020-05-13,NIFTY 50,9584.2,9584.5,9351.1,9383.55,846400000,INR
2020-05-14,NIFTY 50,9213.95,9281.1,9119.75,9142.75,602560000,INR
2020-05-15,NIFTY 50,9182.4,9182.4,9050.0,9136.85,575859968,INR
2020-05-18,NIFTY 50,9158.3,9158.3,8806.75,8823.25,772979968,INR
2020-05-19,NIFTY 50,8961.7,9030.35,8855.3,8879.1,762150016,INR
